provider_state,year,average_total_payments,average_medicare_payments,cover_rate
OR,2017,16354.562671140764,14075.341138411308,0.861
WA,2017,16168.052758393624,13419.406229552284,0.83
MN,2017,16148.006433369363,13701.56636098415,0.848
CT,2017,15650.99124306243,13088.592662897203,0.836
MA,2017,15464.970222607286,13635.417148941415,0.882
UT,2017,15385.102183455119,12544.264739608241,0.815
DE,2017,15281.911439614707,12392.876158076471,0.811
VT,2017,15062.109155296494,12970.732503824793,0.861
CO,2017,14994.473860411254,12584.928794031695,0.839
AZ,2017,14886.298149849712,12908.001486577356,0.867
NJ,2017,14709.520479311423,12579.441415678039,0.855
NV,2017,14387.215060924167,12379.644455153515,0.86
SD,2017,13854.168186270992,11925.613669475684,0.861
MI,2017,13849.211437835038,11933.064006106477,0.862
PA,2017,13747.293135825579,10922.258483973976,0.795
WY,2017,13742.451679082997,11748.624915375496,0.855
NE,2017,13651.748863943949,11601.8380143644,0.85
RI,2017,13620.434649762692,11720.369369923896,0.86
ND,2017,13608.5798091624,11685.308359097449,0.859
IL,2017,13542.795127663341,11088.003602723975,0.819
WI,2017,13486.124168706963,11023.57711229368,0.817
NC,2017,13457.696175486188,11001.468450224964,0.817
NM,2017,13448.036285706994,11535.699648483655,0.858
NH,2017,13339.228933231887,11619.986018563626,0.871
MT,2017,13183.339157039025,11645.267620211387,0.883
ME,2017,13168.938494230099,11012.202460774182,0.836
VA,2017,13131.566831544116,10453.417750735423,0.796
ID,2017,13124.885072317184,11198.975107292241,0.853
TX,2017,12855.033753553047,10635.212033286876,0.827
OH,2017,12744.597684313079,10379.414253239334,0.814
SC,2017,12620.406941856108,10361.162609143294,0.821
GA,2017,12567.302094118135,10610.150029547949,0.844
OK,2017,12485.008234013621,10636.810295683672,0.852
MO,2017,12407.338681843559,10864.159486835091,0.876
IN,2017,12204.909102113221,10425.243592222227,0.854
KS,2017,12160.941072614674,10342.061329338447,0.85
TN,2017,12130.047581804711,10259.199904698877,0.846
KY,2017,12117.173679608633,10158.594052641605,0.838
WV,2017,12006.8280415088,9739.2553066733435,0.811
IA,2017,11923.578181923389,10271.997953357723,0.861
FL,2017,11827.056195467794,10058.557887293198,0.85
LA,2017,11784.242802028355,9756.63249059449,0.828
AR,2017,10883.903300364538,9332.5454793689751,0.857
MS,2017,10604.126885232388,9137.7374503123519,0.862
AL,2017,10519.971123071764,8706.9154865334967,0.828
